distance écran (en m);duree aller-retour (en s)
0.05;0.000283
0.1;0.000563
0.15;0.0009299999999999999
0.2;0.0011894
0.25;0.001478
0.3;0.00174
0.35000000000000003;0.0019794
0.4;0.0022831999999999996
