T (s);A
0;0
0,2;0
0,4;0
0,6;0
0,8;0
1;0
1,2;0
1,4;0
1,6;0
1,8;0
2;0
2,2;0
2,4;0
